,SCORE:,total_score,atom_pair_constraint,cart_bonded,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,rama_prepro,ref,yhh_planarity,description,id
0,SCORE:,11946.464,13205.128999999999,300.047,0.0,-3063.228,674.137,-1145.004,6.612,116.04299999999999,332.37699999999995,2139.3779999999997,-104.13600000000001,-121.72200000000001,-100.34700000000001,-252.38299999999998,-49.953,10.508,-104.32799999999999,5.184,96.92200000000001,1.229,S_0001,A0A075LS72_9BACI
6,SCORE:,7005.14,8066.628000000001,333.3,0.0,-3016.4809999999998,667.3660000000001,-1063.6989999999998,6.7379999999999995,112.99799999999999,329.407,2118.17,-104.87299999999999,-113.61200000000001,-90.334,-239.252,-64.469,13.967,-97.025,30.753,114.50299999999999,1.056,S_0007,Q7N8Y1_PHOLL
1,SCORE:,9216.954,9412.549,629.0830000000001,0.0,-2900.825,667.595,-915.882,7.965,125.226,431.97,2062.344,-69.57600000000001,-91.09,-65.62899999999999,-235.5,-59.803000000000004,69.314,-73.309,96.568,125.10600000000001,0.8490000000000001,S_0002,E8TPU1_MESCW
0,SCORE:,8927.529,9381.871,561.646,0.0,-2839.165,679.0,-977.452,7.995,110.56200000000001,396.56699999999995,1973.4720000000002,-83.712,-108.645,-87.08,-202.045,-54.266999999999996,58.118,-69.436,80.132,98.64,1.329,S_0001,R2T554_9ENTE
9,SCORE:,9054.559000000001,10023.247,399.972,0.0,-3110.203,705.638,-1122.163,8.347999999999999,116.771,347.04,2255.251,-106.92,-113.2,-95.63600000000001,-251.09900000000002,-51.099,28.146,-96.774,4.107,111.867,1.2670000000000001,S_0010,A0A075R5N9_BRELA
1,SCORE:,3639.9359999999997,4870.085,302.351,0.0,-2972.93,677.335,-1108.932,6.856,111.179,310.205,2094.709,-110.007,-116.84100000000001,-92.86399999999999,-245.37400000000002,-53.418,7.037000000000001,-107.96,-28.989,96.514,0.978,S_0002,A6LXA0_CLOB8
9,SCORE:,2877.12,3966.6040000000003,350.69800000000004,0.0,-3148.085,748.301,-1155.57,8.015,124.742,365.444,2234.959,-93.45700000000001,-124.414,-118.29700000000001,-258.66700000000003,-47.369,10.456,-93.243,31.401,73.737,1.865,S_0010,U5LI95_9BACI
5,SCORE:,3639.072,4604.8679999999995,386.366,0.0,-3098.925,752.4789999999999,-1132.787,7.894,121.26299999999999,366.598,2190.044,-102.137,-113.39200000000001,-97.89,-253.951,-53.159,25.421999999999997,-91.777,18.595,108.698,0.862,S_0006,Q6F0K1_MESFL
2,SCORE:,9694.505,11084.025,272.67900000000003,0.0,-3047.0690000000004,664.257,-1224.555,5.9,117.664,283.518,2197.155,-121.23,-119.99,-107.802,-254.963,-39.425,9.281,-112.22,-6.024,92.205,1.1,S_0003,LACG_STRU0
6,SCORE:,9432.469000000001,10329.951,361.88599999999997,0.0,-2892.152,545.127,-969.9860000000001,7.077999999999999,99.947,361.22900000000004,1936.4520000000002,-74.363,-107.682,-79.184,-229.67,-49.863,25.935,-100.501,80.08,186.889,1.2930000000000001,S_0007,D2Q1I7_KRIFD
9,SCORE:,9816.795,11153.84,275.67,0.0,-3121.317,621.5269999999999,-1150.3519999999999,6.374,114.73100000000001,299.959,2187.596,-113.366,-119.20100000000001,-90.99600000000001,-240.355,-55.456,8.708,-117.85799999999999,-3.175,159.969,0.49700000000000005,S_0010,T0KVT4_COLGC
6,SCORE:,17149.768,17518.444,484.625,0.0,-2408.259,527.866,-839.429,6.774,91.734,303.356,1773.08,-66.455,-101.889,-54.24100000000001,-198.778,-50.585,25.546999999999997,-73.969,93.398,117.459,1.09,S_0007,A0A022LM45_9MICO
4,SCORE:,17105.127,17522.226000000002,428.23199999999997,0.0,-2436.724,529.953,-858.345,5.718999999999999,92.76700000000001,301.438,1790.382,-62.183,-105.36200000000001,-65.35,-197.13400000000001,-46.129,25.250999999999998,-65.429,127.044,117.459,1.311,S_0005,A0A022LM45_9MICO
4,SCORE:,7252.246999999999,8310.288,342.61199999999997,0.0,-2932.7540000000004,665.465,-1095.865,6.852,116.115,307.019,2126.107,-99.431,-108.536,-89.681,-246.264,-57.318999999999996,15.34,-101.98899999999999,-10.221,103.635,0.8759999999999999,S_0005,Q65D52_BACLD
9,SCORE:,8598.209,9717.918,343.41,0.0,-3014.453,663.916,-1101.87,6.882999999999999,113.39200000000001,320.172,2133.544,-95.04700000000001,-113.49,-106.73299999999999,-250.179,-50.303000000000004,18.982,-99.898,-13.639000000000001,123.904,1.699,S_0010,C9A8X7_ENTCA
4,SCORE:,4675.265,5799.611,370.60699999999997,0.0,-3176.942,690.683,-1145.775,6.956,112.568,345.26800000000003,2253.0460000000003,-134.36,-112.322,-95.81700000000001,-262.901,-51.895,29.69,-115.995,31.028000000000002,129.99200000000002,1.8230000000000002,S_0005,E0SEG6_DICD3
2,SCORE:,16187.837,17143.558,331.091,0.0,-2777.244,548.585,-1035.111,6.02,105.59200000000001,298.19,2009.0179999999998,-78.416,-107.73299999999999,-96.316,-234.312,-46.162,22.405,-99.229,32.562,164.62900000000002,0.711,S_0003,B5HHQ0_STRPR
8,SCORE:,4542.377,5706.65,343.52099999999996,0.0,-3063.775,677.5,-1096.22,6.865,113.185,326.612,2150.2929999999997,-100.17399999999999,-114.21700000000001,-104.973,-242.99900000000002,-57.078,18.455,-111.804,-16.783,106.556,0.763,S_0009,A0A075LGE8_9BACI
0,SCORE:,9158.109,10203.591999999999,383.214,0.0,-2912.2540000000004,602.452,-1058.502,6.104,107.978,297.324,2027.275,-78.89399999999999,-119.081,-102.58,-241.63400000000001,-47.163000000000004,15.231,-106.074,34.408,144.845,1.869,S_0001,C8WXU5_ALIAD
1,SCORE:,9173.709,10451.753,268.452,0.0,-3094.366,676.043,-1104.579,6.712000000000001,110.325,301.3,2158.2329999999997,-116.574,-108.238,-109.17,-249.165,-42.655,8.78,-112.083,-33.272,161.017,1.195,S_0002,G7LT27_9ENTR
5,SCORE:,9417.404,10334.396999999999,351.894,0.0,-2791.349,604.466,-1002.763,6.541,111.10799999999999,295.955,1975.888,-81.895,-111.089,-95.09,-235.15,-52.503,20.857,-80.715,49.743,115.557,1.5519999999999998,S_0006,Q12KZ0_SHEDO
0,SCORE:,7465.151,8557.495,327.88199999999995,0.0,-2933.342,698.768,-1091.816,6.656000000000001,120.959,301.612,2109.644,-108.745,-107.37200000000001,-93.537,-245.34099999999998,-57.378,14.569,-102.89200000000001,-19.45,86.709,0.728,S_0001,A8F9J2_BACP2
2,SCORE:,8595.215,9682.78,339.727,0.0,-3131.059,706.845,-1127.494,6.772,120.454,330.81300000000005,2253.172,-103.09899999999999,-117.175,-95.14200000000001,-252.893,-53.157,10.784,-98.757,-8.091000000000001,129.836,0.9,S_0003,R6UYP4_9FIRM
5,SCORE:,8599.533000000001,9693.658000000001,355.24699999999996,0.0,-3163.768,698.7539999999999,-1117.0910000000001,7.127999999999999,119.71600000000001,328.84,2248.373,-97.611,-108.602,-96.353,-254.24900000000002,-59.195,22.357,-100.77600000000001,-8.325,129.836,1.5930000000000002,S_0006,R6UYP4_9FIRM
3,SCORE:,12926.21,13778.388,375.116,0.0,-2793.8190000000004,591.363,-980.9019999999999,6.487,106.182,326.745,1954.743,-85.96,-108.626,-98.501,-224.46099999999998,-43.611000000000004,36.79,-108.979,44.799,148.781,1.6740000000000002,S_0004,Q08YK7_STIAD
0,SCORE:,8620.851999999999,9707.013,367.722,0.0,-3118.9559999999997,669.814,-1166.572,7.122999999999999,116.959,325.89799999999997,2269.6910000000003,-113.211,-117.831,-94.38799999999999,-250.808,-62.17,19.496,-99.036,47.823,111.36,0.9229999999999999,S_0001,S8ABJ7_DACHA
4,SCORE:,9699.488000000001,11082.556,265.718,0.0,-3042.312,654.479,-1178.21,6.087999999999999,118.491,283.868,2159.472,-108.647,-119.208,-103.26700000000001,-251.77900000000002,-47.525,8.174,-115.367,-8.916,95.148,0.723,S_0005,T0V6C7_9STRE
3,SCORE:,9539.541,10100.804,571.374,-0.21100000000000002,-2914.925,611.729,-1019.125,7.622999999999999,106.09200000000001,376.705,2075.845,-83.249,-99.02,-80.742,-248.692,-59.805,28.905,-92.30799999999999,98.029,159.471,1.043,S_0004,I1IAG4_BRADI
3,SCORE:,9556.707,10098.188,632.682,-0.46399999999999997,-2941.804,627.943,-1029.042,8.133,107.51,387.426,2092.982,-92.884,-101.23200000000001,-84.087,-243.94400000000002,-60.015,22.936,-97.73,68.916,159.471,1.7209999999999999,S_0004,I1IAG4_BRADI
6,SCORE:,7370.227,8328.385,341.825,0.0,-2822.1279999999997,648.048,-1020.6339999999999,7.182,109.73200000000001,306.62,2001.414,-89.87799999999999,-115.07600000000001,-75.105,-225.174,-61.075,17.868,-101.993,18.808,100.68299999999999,0.7240000000000001,S_0007,I6T8D1_ENTHA
1,SCORE:,8355.2,9333.110999999999,378.416,0.0,-3065.737,687.1439999999999,-1094.047,6.58,119.214,339.00199999999995,2220.583,-103.92299999999999,-106.479,-113.336,-240.209,-59.852,22.101999999999997,-95.59700000000001,44.403999999999996,80.831,2.992,S_0002,A1CNJ2_ASPCL
7,SCORE:,15639.024,16681.926,314.746,0.0,-2837.1,546.979,-1060.017,5.976,105.846,299.768,2050.615,-84.072,-111.264,-106.07799999999999,-241.81900000000002,-47.263999999999996,15.924000000000001,-99.059,54.571999999999996,148.525,0.82,S_0008,V6KM89_STRNV
3,SCORE:,9217.443000000001,9853.502,478.51099999999997,-0.956,-2981.2309999999998,621.105,-1063.593,7.117000000000001,106.473,362.841,2158.96,-89.92,-121.37200000000001,-66.788,-254.482,-54.617,34.618,-76.487,118.616,183.89700000000002,1.249,S_0004,M7ZDE0_TRIUA
7,SCORE:,9231.806,9848.087,528.682,-0.9540000000000001,-2976.3920000000003,624.067,-1070.483,7.071000000000001,105.735,363.531,2162.612,-102.611,-109.02,-71.913,-258.658,-60.31100000000001,23.919,-77.723,110.92399999999999,183.89700000000002,1.3459999999999999,S_0008,M7ZDE0_TRIUA
3,SCORE:,9158.909,9856.318000000001,489.595,-0.6890000000000001,-2997.441,622.948,-1069.789,6.841,106.178,363.05699999999996,2157.4120000000003,-85.71,-117.98899999999999,-72.248,-256.066,-50.363,19.74,-85.94200000000001,88.301,183.89700000000002,0.8590000000000001,S_0004,M7ZDE0_TRIUA
2,SCORE:,15240.589,15689.837,586.085,-1.025,-2656.94,575.469,-895.0,7.109,105.15899999999999,354.501,1862.293,-84.501,-99.88799999999999,-71.922,-194.602,-55.93600000000001,34.339,-85.926,43.882,126.368,1.287,S_0003,A0A0D3GK12_9ORYZ
0,SCORE:,15305.857,15656.601,675.296,-0.8320000000000001,-2676.5570000000002,577.063,-909.7460000000001,6.596,102.777,356.961,1870.747,-87.13600000000001,-97.69200000000001,-77.53,-200.908,-45.865,37.105,-75.434,66.43,126.368,1.614,S_0001,A0A0D3GK12_9ORYZ
6,SCORE:,15269.552,15667.79,618.315,-0.862,-2684.6809999999996,588.327,-913.487,7.186,102.28200000000001,353.93,1878.067,-84.42200000000001,-101.429,-67.67699999999999,-207.03099999999998,-43.897,41.45399999999999,-70.567,58.538000000000004,126.368,1.347,S_0007,A0A0D3GK12_9ORYZ
9,SCORE:,17480.971999999998,18379.139,579.7280000000001,-0.956,-3197.191,639.012,-1155.508,7.39,111.64,367.461,2239.375,-110.045,-115.163,-92.04299999999999,-262.13,-54.50899999999999,27.379,-101.25,22.041999999999998,195.253,1.35,S_0010,D8T9Q7_SELML
2,SCORE:,8862.556,10086.775,310.341,0.0,-3052.3920000000003,677.663,-1135.3410000000001,6.511,115.818,335.17800000000005,2141.999,-111.98899999999999,-114.152,-94.215,-259.431,-46.95,13.074000000000002,-122.64299999999999,6.4239999999999995,105.338,0.5479999999999999,S_0003,R6A3M9_9ACTN
1,SCORE:,14337.57,15070.995,418.75199999999995,1.092,-3012.133,689.995,-1079.9660000000001,7.542999999999999,126.367,355.226,2207.506,-103.45700000000001,-109.71600000000001,-73.71300000000001,-253.15099999999998,-70.85600000000001,54.328,-77.065,86.705,96.98,2.14,S_0002,E4X8G4_OIKDI
8,SCORE:,6071.611999999999,7075.613,420.334,0.0,-3144.3740000000003,715.66,-1148.433,7.525,121.198,357.917,2245.884,-101.008,-117.73700000000001,-106.376,-259.47900000000004,-61.02,16.047,-102.15299999999999,19.932000000000002,129.846,2.235,S_0009,Q74HL3_LACJO
2,SCORE:,6064.193,7207.876,328.726,0.0,-3118.6220000000003,705.3910000000001,-1152.172,7.115,119.984,341.43800000000005,2250.504,-107.381,-113.03399999999999,-105.32799999999999,-252.697,-58.32899999999999,10.055,-94.363,-19.687,113.131,1.5859999999999999,S_0003,Q03XR3_LEUMM
9,SCORE:,9318.317,10612.507,284.325,0.0,-3108.0,676.462,-1123.414,6.432,116.04799999999999,315.611,2180.2960000000003,-107.79,-109.53,-95.072,-256.246,-57.395,9.9,-116.305,-10.135,99.285,1.338,S_0010,U5S8B2_9LACT
2,SCORE:,12827.986,13785.641000000001,372.30400000000003,0.0,-2894.8590000000004,626.17,-1108.864,6.79,117.27600000000001,322.466,2095.469,-87.662,-110.04799999999999,-91.26,-253.273,-51.769,23.346999999999998,-97.00299999999999,26.094,145.19299999999998,1.975,S_0003,A6X2M0_OCHA4
1,SCORE:,10175.466,11473.046999999999,303.307,-1.135,-3252.34,642.4830000000001,-1200.529,6.9510000000000005,115.804,333.699,2308.31,-101.86,-131.433,-92.277,-279.597,-54.598,10.575,-112.87799999999999,18.555,188.25400000000002,1.127,S_0002,K3XWH5_SETIT
4,SCORE:,13609.378,14583.728000000001,371.788,0.0,-2870.167,564.105,-1042.86,5.771,105.77600000000001,317.051,2057.009,-79.616,-111.62200000000001,-94.681,-248.6,-54.482,15.603,-98.819,34.38,154.166,0.851,S_0005,D7C0L6_STRBB
0,SCORE:,3637.864,4703.549,329.124,0.0,-2885.031,597.573,-1034.748,6.1770000000000005,103.6,296.086,2011.352,-97.196,-111.762,-82.936,-244.49400000000003,-56.815,22.188000000000002,-103.875,13.242,170.524,1.306,S_0001,A0A089PFW8_PLUGE
1,SCORE:,9172.546,10405.905,292.38,0.0,-3086.304,711.697,-1121.637,6.965,113.51700000000001,309.01599999999996,2170.5589999999997,-114.72,-107.15,-103.947,-244.95,-53.056999999999995,17.9,-105.00399999999999,-19.698,99.795,1.2790000000000001,S_0002,R3TIB4_9ENTE
2,SCORE:,12038.403999999999,12837.332,286.793,-0.96,-2562.3089999999997,573.46,-876.9119999999999,6.575,95.419,270.574,1787.22,-78.219,-94.429,-61.82,-222.68099999999998,-61.836999999999996,19.733,-83.65799999999999,81.475,121.82799999999999,0.821,S_0003,M7Z8P5_TRIUA
1,SCORE:,9575.722,10683.149,276.298,-0.838,-2809.285,595.735,-1011.0310000000001,6.707999999999999,106.531,287.296,1974.231,-93.921,-93.47200000000001,-77.554,-252.482,-59.571000000000005,6.945,-102.568,10.277000000000001,127.729,1.544,S_0002,A0A072UV16_MEDTR
0,SCORE:,11420.392,12478.874,285.728,0.0,-2868.078,600.299,-1049.526,6.431,112.323,303.548,2026.83,-84.08200000000001,-114.505,-108.64200000000001,-235.21200000000002,-48.836999999999996,10.097999999999999,-103.369,72.569,134.825,1.1179999999999999,S_0001,F8I8K7_SULAT
9,SCORE:,5107.54,6465.451999999999,272.481,0.0,-3118.111,682.2760000000001,-1176.624,6.26,114.051,309.09,2200.6479999999997,-110.65100000000001,-112.325,-108.75200000000001,-257.814,-48.394,8.465,-115.79799999999999,-24.281999999999996,120.65,0.917,S_0010,F9URP7_LACPL
9,SCORE:,8765.145,9705.858,303.741,0.0,-2763.7870000000003,557.039,-962.155,5.819,97.338,300.921,1904.184,-76.828,-110.96,-65.566,-222.95,-55.563,12.494000000000002,-88.375,58.751000000000005,163.952,1.2309999999999999,S_0010,M9R842_9RHOB
7,SCORE:,7454.64,8519.383,375.25300000000004,0.0,-2980.384,644.866,-1092.107,7.131,108.454,311.441,2095.877,-92.09200000000001,-118.57799999999999,-107.007,-238.18400000000003,-48.687,13.089,-104.729,16.665,142.937,1.3130000000000002,S_0008,C4LD42_TOLAT
8,SCORE:,16710.29,17127.869,562.198,0.0,-2594.152,507.575,-880.677,7.155,93.507,335.88699999999994,1825.219,-58.42100000000001,-99.286,-68.056,-216.495,-51.958999999999996,28.214000000000002,-79.756,62.876000000000005,208.185,0.408,S_0009,W0AG68_9SPHN
9,SCORE:,16770.491,17132.374,559.55,0.0,-2597.6479999999997,530.326,-873.457,6.681,93.824,343.20599999999996,1832.112,-68.232,-103.042,-69.137,-212.64700000000002,-49.776,42.23,-77.008,72.613,208.185,0.336,S_0010,W0AG68_9SPHN
7,SCORE:,19851.486,20219.264,471.175,0.0,-2572.657,558.6469999999999,-868.039,7.269,95.54899999999999,359.12699999999995,1831.885,-63.056999999999995,-96.385,-75.105,-203.611,-44.552,29.893,-72.382,116.304,157.558,0.606,S_0008,A9WDK4_CHLAA
8,SCORE:,19908.82,20215.753,491.542,0.0,-2536.907,559.2719999999999,-855.988,6.5920000000000005,96.619,336.57199999999995,1813.932,-65.604,-99.26700000000001,-61.176,-198.46400000000003,-41.872,29.025,-72.291,133.07,157.558,0.45399999999999996,S_0009,A9WDK4_CHLAA
4,SCORE:,1125.713,2020.759,418.185,0.0,-2891.136,620.315,-1071.5819999999999,6.603,107.18700000000001,351.26800000000003,1996.225,-85.87299999999999,-120.37899999999999,-98.169,-238.639,-41.253,47.441,-105.801,66.608,142.22799999999998,1.7269999999999999,S_0005,R7H2Z3_9FIRM
8,SCORE:,14986.973,15363.0,477.92699999999996,0.0,-2737.6240000000003,608.164,-879.819,7.657,101.22200000000001,377.421,1929.269,-68.215,-112.065,-55.192,-211.505,-54.146,40.964,-65.467,118.51,146.105,0.768,S_0009,L0EFG7_THECK
5,SCORE:,15040.813,15339.623,551.83,0.0,-2688.387,600.711,-882.1,7.172000000000001,103.52600000000001,363.005,1894.82,-63.467,-121.536,-70.90899999999999,-199.90599999999998,-56.423,54.841,-65.82600000000001,126.804,146.105,0.927,S_0006,L0EFG7_THECK
5,SCORE:,7334.945,8417.292,343.16900000000004,0.0,-2926.4559999999997,633.665,-1044.553,6.443,109.64299999999999,324.83,2032.158,-87.56200000000001,-119.586,-83.569,-237.055,-48.865,12.457,-104.961,19.38,87.301,1.213,S_0006,I0JQY5_HALH3
0,SCORE:,7015.241999999999,8017.309,268.157,-0.243,-2697.34,585.955,-969.498,6.244,101.226,290.084,1881.932,-83.505,-97.51899999999999,-74.234,-234.282,-52.43600000000001,11.657,-92.459,15.154000000000002,137.929,1.109,S_0001,I1PN02_ORYGL
1,SCORE:,14068.732,14992.037,391.582,0.0,-2932.467,603.626,-1025.743,5.968,110.587,328.35,2047.641,-98.43799999999999,-111.86,-97.461,-228.24200000000002,-58.602,29.756,-92.509,45.375,158.38,0.752,S_0002,R4T6P4_AMYOR
6,SCORE:,7570.026999999999,8458.489,379.19699999999995,0.0,-2911.308,683.823,-1076.718,7.157,120.684,311.58299999999997,2131.078,-101.39299999999999,-111.53200000000001,-85.215,-233.132,-57.303999999999995,15.747,-94.414,34.109,98.18700000000001,0.9890000000000001,S_0007,S0N7W1_9ENTE
4,SCORE:,11979.86,12941.483,351.17199999999997,0.0,-2811.816,558.953,-1022.742,5.932,103.66799999999999,303.203,1970.014,-79.143,-117.07700000000001,-94.74700000000001,-229.364,-48.422,33.061,-102.594,38.031,179.33599999999998,0.912,S_0005,Q21ZG0_RHOFT
5,SCORE:,9781.796999999999,11102.399,261.295,0.0,-3106.013,661.2489999999999,-1094.6860000000001,6.14,113.21600000000001,297.881,2146.361,-110.156,-113.23100000000001,-86.257,-250.69400000000002,-56.321000000000005,7.84,-113.568,-39.059,154.791,0.611,S_0006,G9ZAY4_9ENTR
0,SCORE:,8910.824,10081.779,284.705,0.0,-3078.2990000000004,709.4960000000001,-1147.238,7.324,115.831,320.835,2218.911,-100.86200000000001,-115.016,-101.06200000000001,-249.158,-54.483000000000004,7.103,-92.806,1.49,100.829,1.445,S_0001,G7MAH1_9CLOT
